"","year","exchange_rates","inflation","interest_rate","Current_account_balance","GDP_per_capita","populations_woman","populations_men","populations_total","unemployemnts_woman","unemployemnts_men","unemployemnts_total","renewable_energy","RD_spending"
"1",2001,8.991654,3.004197,6.236667,27538.51,20858.22,2.236615,2277.132,4.513747,3.483333,3.341667,3.408333,11500.5733,3687.8617755986
"2",2002,7.983779,1.286725,6.384167,24084.49,39001.54,2.249018,2289.139,4.538157,3.825,3.475,3.666667,12330.6868,3773.43138941697
"3",2003,7.080217,2.487826,5.045,27582.94,50546.74,2.26258,2302.276,4.564856,4.516667,3.883333,4.208333,10333.3764,3928.27250018281
"4",2004,6.740833,0.4544985,4.368333,32734.56,47250.2,2.276559,2315.35,4.591909,4.625,3.908333,4.275,10573.8941,3881.67173859871
"5",2005,6.4425,1.532134,3.745833,50845.11,55130.2,2.29303,2330.263,4.623293,4.691667,4.325,4.525,12976.4068,4058.0810629294
"6",2006,6.413333,2.32935,4.076667,56418.77,41160.89,2.313881,2346.792,4.660673,3.558333,3.633333,3.6,11561.957,4276.66635038878
"7",2007,5.861667,0.7125891,4.774167,49816.9,6981.366,2.342742,2366.414,4.709156,2.683333,2.758333,2.716667,12805.8413,4690.17102573108
"8",2008,5.64,3.753931,4.458333,73027.84,31341.71,2.377374,2390.841,4.768215,3,2.825,2.933333,13366.2696,4934.37731718601
"9",2009,6.288333,2.197386,3.998333,41543.85,77710.2,2.410901,2417.815,4.828716,3.841667,3.033333,3.458333,12159.0789,4959.53094435817
"10",2010,6.044167,2.418906,3.528333,47306.73,44646.48,2.443802,2445.451,4.889253,4.508333,3.316667,3.958333,11683.7157,4890.23841415611
"11",2011,5.604607,1.284952,3.135,62386.89,60961.7,2.47986,2473.229,4.953089,3.7,3.375,3.566667,12036.3182,5046.40713249906
"12",2012,5.8175,0.6968641,2.101667,63386.76,68065.73,2.517388,2501.186,5.018574,3.825,3.091667,3.483333,13847.0664,5203.21121715082
"13",2013,5.875,2.120486,2.5775,53468.38,50475.78,2.551677,2528.494,5.080171,4.133333,3.733333,3.933333,12575.6536,5350.14734142127
"14",2014,6.301667,2.041703,2.515,54906.41,61589.58,2.583126,2554.301,5.137427,3.933333,3.608333,3.775,12987.8727,5532.07950462601
"15",2015,8.064167,2.171137,1.565,30855.3,50053.09,2.611973,2577.925,5.189898,4.958333,4.366667,4.691667,13283.0835,6061.82754730519
"16",2016,8.4,3.55,1.331667,14828.89,37192.51,2.637122,2599.03,5.236152,5.558333,4.175,4.908333,13859.7582,6253.07631437807
"17",2017,8.271667,1.875101,1.6375,21816.69,40972.57,2.658745,2618.22,5.276965,4.758333,3.958333,4.366667,14141.2199,6677.53574995127
"18",2018,8.1325,2.764831,1.879167,34744.7,28443.33,2.676723,2635.193,5.311916,4.208333,3.8,3.991667,13856.3781,6801.20344447878
"19",2019,8.8,2.16773,1.494167,11732.72,3135.602,2.695816,2652.077,5.347893,4.1,3.625,3.875,13057.281,6990.02849114199
"20",2020,9.415833,1.286585,0.8175,4054.41,70496.16,2.712909,2666.563,5.379472,4.941667,4.541667,4.75,14655.3646,6826.56114662521
"21",2021,8.59,3.483881,1.4025,66578.84,-974.6066,2.728294,2680.026,5.40832,4.675,4.183333,4.458333,15254.9278,7009.05383934986
