"","TIME","Exchange rate","Population","Unemployment.rate","R&D_MLN_USD","R&D_PC_GDP","Inflation.rate","GDP","Long.term.interest.rate","Short.term.interest.rate","Renewable.Ktoe","Renewable.%pry.supply","Government.reserve"
"3","1992",NA,148.53819,5.18,18028.9110883813,0.68943074532314,NA,3098.802734375,NA,NA,25555.6463,3.21,NA
"4","1993",0.991667,148.45878,5.88,17099.238406805,0.71577408051637,874.2458,2930.67016601563,NA,NA,25242.9637,3.36,4604.91
"5","1994",2.19075,148.407906,8.13,16401.784342908,0.78529124229566,307.7226,2662.10400390625,NA,NA,22014.7559,3.35,3021.18
"6","1995",4.55915,148.375796,9.45,14783.2010835224,0.79265171350156,197.4143,2665.77978515625,NA,NA,21302.035,3.35,10005.2
"7","1996",5.120833,148.160121,9.67,16183.7680619162,0.90022593437424,47.75201,2643.92919921875,NA,NA,18496.3409,2.93,8314.12
"8","1997",5.784833,147.915371,11.81,17729.1912438621,0.97275530113939,14.76132,2737.57202148438,NA,25.375,18033.854,3,10127.3
"9","1998",9.705083,147.670787,13.26,15335.9873910537,0.88896004805333,27.68569,1834.86181640625,NA,29.875,17412.7066,2.96,6056.46
"10","1999",24.6199,147.214777,13.04,17035.0638147777,0.92847940817669,85.74649,1330.75720214844,87.37583,22.96667,18796.9428,3.09,6628.28
"11","2000",28.129167,146.596873,10.58,19755.0040689796,0.97843668483818,20.79877,1771.59411621094,35.16333,12.825,18054.0126,2.91,19055.75
"12","2001",29.168525,145.976465,8.98,23274.3509802939,1.09690033148647,21.47701,2100.3525390625,19.38333,9.983334,18802.2881,3,26370.47
"13","2002",31.348483,145.306489,7.88,25819.5948038808,1.16174485314641,15.78873,2377.52954101563,15.82417,12.39167,17680.9688,2.84,32840.03
"14","2003",30.692025,144.565937,8.21,28551.7196851821,1.19732117543917,13.66329,2975.12524414063,9.115,8.125,17234.2505,2.67,49682.97
"15","2004",28.813742,143.821218,7.76,27395.45823291,1.07191320818482,10.88861,4102.36474609375,8.289166,7.105,18884.9479,2.92,78225.53
"16","2005",28.284442,143.113885,7.12,27032.0773603699,0.99429683185172,12.68531,5323.462890625,8.1075,5.8375,18693.1164,2.87,123499
"17","2006",27.190958,142.487259,7.06,29372.2306831597,0.99892586809497,9.668655,6920.18896484375,6.976666,6.035,18833.5196,2.81,196921
"18","2007",25.580845,142.114903,6,33161.9980350342,1.03912283128139,9.007296,9101.2548828125,6.7175,6.660833,19400.0907,2.88,295872
"19","2008",24.852875,141.956413,6.21,32658.0389393539,0.97230527045589,14.11077,11635.2724609375,7.523334,10.77167,17726.3016,2.58,267908
"20","2009",31.740358,141.909248,8.3,36087.2516366011,1.16555778919433,11.64733,8562.8134765625,9.874166,13.05,18277.8541,2.83,266503
"21","2010",30.367915,142.389969,7.37,34045.8063884577,1.05223284615462,6.849392,10674.99609375,7.831666,5.158333,17693.4938,2.55,288925
"22","2011",29.382341,142.960911,6.54,34256.6410076633,1.01544846770538,8.440471,14311.083984375,8.060833,5.491167,17731.8573,2.48,296673
"23","2012",30.839831,143.201721,5.44,36063.5885898486,1.02765690153822,5.074733,15420.875,8.154166,7.290417,17855.0636,2.46,317670
"24","2013",31.837144,143.506995,5.46,36684.6702000197,1.02732122689714,6.753717,15974.64453125,7.330833,7.489417,18713.7336,2.66,306102
"25","2014",38.378207,143.819657,5.16,38576.7424800143,1.07241119823246,7.823416,14095.6484375,8.464167,9.435917,17968.2287,2.55,235600
"26","2015",60.93765,146.406004,5.57,38818.6309211665,1.10085228234373,15.5344,9313.013671875,10.88667,14.75667,17511.2305,2.53,NA
"27","2016",67.055933,146.674542,5.56,38947.8120232728,1.10238071879667,7.042436,8704.8984375,10.43833,11.6025,18954.3134,2.66,NA
"28","2017",58.342801,146.842404,5.21,39921.023584549,1.10966615734981,3.683334,10720.3330078125,8.9925,9.120833,18763.9029,2.58,NA
"29","2018",62.668133,146.830572,4.85,36616.3906120505,0.99001661258975,2.878305,11287.3603515625,NA,7.559166,19384.9748,2.51,NA
"30","2019",64.737658,146.764661,4.5,39201.2639660445,1.03878683639605,4.470367,11536.2509765625,NA,7.688334,19935.8328,2.58,NA
"31","2020",72.104908,146.459803,5.59,40322.2987555871,1.09802953775679,3.38166,10169.0869140625,NA,5.26375,21537.0051,2.84,NA
"32","2021",73.65435,146.108065,5.01,NA,NA,6.694456,12194.77734375,NA,6.41,22064.3017,2.69,NA
