"","TIME","Exchange_rate","Population","Unemployment_rate","R&D_MLN_USD","R&D_PC_GDP","Inflation","GDP","Long_term_interest_rate","Short_term_interest_rate","Renewable_ktoe","Renewable_pcsup","Gov_reserve"
"42",1991,5.323392,1170.626171,"2.37",13087.1486518403,0.7246337295961,3.4,"333.1421",NA,NA,213205.2833,25.14,30976.8
"43",1992,5.514592,1183.813388,"2.37",15022.3097438591,0.72819871665226,6.4,"366.4607",NA,NA,215018.6635,24.52,15441.1
"44",1993,5.761958,1195.855556,"2.69",16333.3653242292,0.69522779004967,14.7,"377.3898",NA,NA,217790.5847,23.45,16742.9
"45",1994,8.618743,1207.286676,"2.9",16721.9380607053,0.6296787458237,24.1,"473.4923",NA,NA,219657.4282,22.58,36690.7
"46",1995,8.351417,1218.144424,"3",16749.6872444463,0.56845544254229,17.1,"609.6567",NA,NA,222455.0491,21.3,51152.3
"47",1996,8.314175,1228.298839,"3.12",18242.6612137767,0.56323593302661,8.3,"709.4138",NA,NA,222182.1918,20.7,74882.9
"48",1997,8.289817,1237.801448,"3.23",22598.5244001153,0.63872545944929,2.8,"781.7442",NA,NA,223477.2427,20.83,106253
"49",1998,8.278958,1246.836105,"3.24",24683.112845989,0.64688862674672,-0.8,"828.5805",NA,6.854908,222472.8099,20.63,106400
"50",1999,8.27825,1255.433238,"3.25",30794.9641786549,0.74963230585086,-1.4,"873.2871",NA,3.658417,221624.3193,20.17,115364
"51",2000,8.278504,1264.09907,"3.26",39806.306926472,0.89316324973749,0.4,"959.3725",NA,2.600983,219941.9318,19.41,129600
"52",2001,8.277068,1272.739581,"3.8",45401.8575709753,0.94033091263008,0.7,"1053.108",NA,2.521183,217079.1392,18.54,172124
"53",2002,8.276958,1280.926119,"4.24",55741.6526605798,1.05786025662724,-0.8,"1148.508",NA,2.152058,215957.7769,17.35,214815
"54",2003,8.277037,1288.873367,"4.58",64961.2710026621,1.1203664624296,1.2,"1288.643",NA,2.618333,209653.1384,14.77,275345
"55",2004,8.276801,1296.81671,"4.49",77572.1020211667,1.21498243328913,3.9,"1508.668",NA,2.7925,208302.9855,12.89,396358
"56",2005,8.194317,1304.88756,"4.52",93020.6500898596,1.3079155920732,1.8,"1753.418",NA,1.8575,207809.7018,11.67,575454
"57",2006,7.973438,1313.086568,"4.43",109713.720660448,1.36853678821173,1.5,"2099.229",NA,2.536364,210273.5882,10.79,710920
"58",2007,7.607532,1321.513225,"4.35",125799.195568337,1.37369410383043,4.8,"2693.97",NA,3.511667,204371.7875,9.74,969055
"59",2008,6.948655,1330.167153,"4.59",145192.227958098,1.44592008760681,5.9,"3468.305",NA,4.033333,204309.5347,9.49,1266210
"60",2009,6.831416,1339.125594,"4.72",182882.556513278,1.66479544654404,-0.7,"3832.236",NA,1.585833,204729.8318,8.91,1542340
"61",2010,6.770269,1348.191369,"4.53",208279.97835215,1.71372148792837,3.3,"4550.453",NA,2.640833,206570.9278,8.14,1862240
"62",2011,6.461461,1357.095477,"4.55",237042.71983421,1.78034302154239,5.4,"5614.352",NA,5.139167,203002.6083,7.46,2087330
"63",2012,6.312333,1366.560818,"4.58",274611.197590113,1.91214100040848,2.6,"6300.615",NA,4.310833,216795.868,7.69,2168590
"64",2013,6.195758,1376.100306,"4.6",309205.058612812,1.99786393995445,2.6,"7020.338",NA,4.976666,225855.2404,7.76,2494400
"65",2014,6.143434,1385.189667,"4.63",336250.720890688,2.02243256022603,2,"7636.117",4.104116,4.804167,243520.0488,8.16,2664870
"66",2015,6.227489,1393.715447,"4.65",366080.932147093,2.05701037020391,1.4,"8016.431",3.333883,3.730833,253801.6481,8.46,NA
"67",2016,6.644478,1401.88968,"4.56",399390.155103394,2.1003284198945,2,"8094.363",2.850067,3.091667,265874.0661,8.92,NA
"68",2017,6.758755,1410.275957,"4.47",430329.703329414,2.11602977395209,1.6,"8816.987",3.591667,4.813334,283885.2519,9.18,NA
"69",2018,6.615957,1417.069468,"4.31",464705.238693159,2.14057804190688,2.1,"9905.342",3.579167,4.035,303300.5851,9.36,NA
"70",2019,6.908385,1421.864034,"4.56",514797.656930842,2.23477215919705,2.9,"10143.84",3.1813,3.235833,328176.2552,9.68,NA
"71",2020,6.900767,1424.929783,"5",564102.739263579,2.40092996655466,2.5,"10408.67",2.924433,2.915,350435.23,10.01,NA
"72",2021,6.448975,1425.893465,"4.55",NA,NA,0.9,"12556.33",3.005533,2.925833,NA,NA,NA
"73",2022,6.737158,NA,NA,NA,NA,NA,NA,2.764183,2.816667,NA,NA,NA
