"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3528.1292435278,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4307.79665909359,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5292.788792342,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5400.78271522524,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5737.07230243468,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6407.59716624719,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7767.65936279402,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8659.26759140888,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9802.03730241263,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9777.74645613561,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10644.7651497208,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12744.7651263595,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",14372.9346614454,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17761.4898252935,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",21014.3848962953,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",21366.2906841671,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",21523.0612370942,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",22437.7758822019,
"AUS","GDEXPRD","TOT","MLN_USD","A","2015",21157.0766472118,
"AUS","GDEXPRD","TOT","MLN_USD","A","2017",21236.2896841302,
"AUS","GDEXPRD","TOT","MLN_USD","A","2019",21724.3322640299,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90099308196479,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02198679772656,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.17702342936602,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13580254523823,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16163468198672,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25760717476694,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.45939606229374,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50686203479654,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.58064191911293,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43627883605723,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47470571996857,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64628478149805,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.72709171318283,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00216423351289,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24512641336393,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.18034019372339,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11354283626394,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09386238679606,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.8808090995956,
"AUS","GDEXPRD","TOT","PC_GDP","A","2017",1.79397551528911,
"AUS","GDEXPRD","TOT","PC_GDP","A","2019",1.79729471857258,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2366.04635295964,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2514.56998280253,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2610.25277032357,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2725.91399551071,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2798.7237825606,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2957.31089424752,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",3015.76962179672,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",3215.5403565888,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",3393.31659596151,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3666.59314660687,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",4008.53323353054,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",4055.54360943465,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",4125.40208664879,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",4456.04272460601,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",4635.6604067906,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4902.80088218226,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",5240.2126700275,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",5679.24526724512,
"AUT","GDEXPRD","TOT","MLN_USD","A","1999",6267.82119127983,
"AUT","GDEXPRD","TOT","MLN_USD","A","2000",6622.14483774095,
