"Country.Code","POP_2020","POP_2021","INF_2020","INF_2021","UNEMP_2020","UNEMP_2021","GDP_2020","GDP_2021"
"ARG",45.376763,45.808747,42.01509,48.40938,11.460000038147,8.73999977111816,8496.42414176374,10636.1201956183
"AUS",25.693267,25.738142,0.8469055,2.86391,6.46000003814697,5.11999988555908,51720.3707634401,60443.1091649968
"AUT",8.916845,8.95152,1.381909,2.766667,5.3600001335144,6.17999982833862,48809.2268762243,53637.7057109897
"BEL",11.506938,11.552615,0.7407918,2.440248,5.55000019073486,6.26000022888184,45517.7949301847,51247.0143531626
"BRA",211.755692,213.317639,3.211768,8.30166,13.9300003051758,13.3400001525879,6794.48915877166,7507.16097080234
"CAN",38.037204,38.246108,0.7169997,3.395193,9.46000003814697,7.46000003814697,43258.2638715601,51987.9390529728
"CHE",8.638169,8.704542,-0.725875,0.5818142,4.82000017166138,5.09999990463257,85656.322666307,91991.6004583563
"CHL",19.45831,19.678363,3.045491,4.524569,11.1400003433228,9.35000038146973,13094.4595313609,16265.0959767147
"CHN",1424.929783,1425.893465,2.5,0.9,5,4.55000019073486,10408.6697561349,12556.3331200058
"COL",50.911747,51.573744,2.52662,3.495073,15.039999961853,13.8999996185303,5307.21522798919,6104.1367093039
"CRI",5.11123821646865,5.16303797091561,0.7249115,1.726478,16.4300003051758,15.1400003433228,12132.8768848243,12472.4437294954
"CZE",10.700155,10.50085,3.161295,3.839845,2.54999995231628,2.80999994277954,22992.8793833348,26821.2452279995
"DEU",83.160874,83.196074,0.1448705,3.066667,3.85999989509583,3.5699999332428,46772.8253507545,51203.5544731043
"DNK",5.825337,5.850189,0.420712,1.853045,5.6399998664856,5.05999994277954,60915.4243995462,68007.7566732954
"ESP",47.355685,47.331545,-0.322753,3.093135,15.5299997329712,14.7799997329712,26959.6754367326,30103.513733191
"EST",1.329479,1.330932,-0.4445311,4.653167,6.96000003814697,6.17999982833862,23595.2436836441,27943.701219882
"FIN",5.529545,5.54102,0.2905546,2.194574,7.76000022888184,7.6100001335144,49170.7521512441,53654.7502964259
"FRA",67.540257,67.719897,0.4764988,1.642331,8.01000022888184,7.8600001335144,39055.2829280754,43658.9789781222
"GBR",67.081234,67.350695,1,2.5,4.47200012207031,4.82600021362305,40318.5575660493,46510.2827819127
"GRC",10.698597,10.656962,-1.247972,1.223826,16.3099994659424,14.710000038147,17658.9473011192,20192.5963039061
"HUN",9.750153,9.709893,3.326744,5.110965,4.25,4.05000019073486,16120.9890495243,18728.1218948689
"IDN",269.6034,272.2485,1.920968,1.560136,4.25,3.82999992370605,3894.27220196922,4332.70928089396
"IND",1396.387126,1407.563842,5.561349,4.890086,10.1949996948242,7.71299982070923,1910.42147282449,2256.59040870506
"IRL",4.977443,5.01146,-0.3345846,2.358143,5.61999988555908,6.19000005722046,85420.1908556097,100172.079253421
"ISL",0.366462,0.372523,2.847919,4.444243,5.48000001907349,6.01999998092651,59200.1779441092,68727.636664709
"ISR",9.215113,9.3714,-0.5884303,1.492288,4.32999992370605,4.31899976730347,44846.7915954816,52170.7118623335
"ITA",59.438845,59.109666,-0.1377076,1.873783,9.15999984741211,9.5,31911.0357890017,35657.4975631691
"JPN",126.146099,125.50229,-0.01666667,-0.25,2.79999995231628,2.79999995231628,39918.1675583443,39312.6603730693
"KOR",51.836239,51.744876,0.537288,2.498333,3.9300000667572,3.64000010490417,31721.2989141857,34997.7816427848
"LTU",2.79489,2.795321,1.199894,4.683544,8.48999977111816,7.1100001335144,20339.5212699052,23723.3402510345
"LUX",0.630413,0.640064,0.8199573,2.52692,6.76999998092651,5.25,117370.496900162,133590.146975586
"LVA",1.900448,1.884488,0.2190611,3.275814,8.10000038146973,7.51000022888184,18207.1396408631,21148.1629405415
"MEX",127.792286,128.972439,3.396834,5.689209,4.44999980926514,4.09000015258789,8655.00068206803,10045.6805004963
"NLD",17.4415,17.533406,1.27246,2.67572,3.8199999332428,4.21000003814697,52162.5701150406,57767.8788108173
"NOR",5.379472,5.40832,1.286585,3.483881,4.42000007629395,4.36999988555908,67329.6777910967,89154.2760934922
"NZL",5.0902,5.1114,1.714562,3.941121,4.59999990463257,3.77999997138977,41596.5055023403,48781.0266328884
"POL",38.354173,38.162224,3.4,5.1,3.16000008583069,3.35999989509583,15816.989398397,17999.9099495446
"PRT",10.2970805,10.297876,-0.01243833,1.265657,6.80000019073486,6.57999992370605,22242.406417972,24567.5092651
"RUS",146.459803,147.2,3.38166,6.694456,5.59000015258789,4.71999979019165,10169.0869140625,12194.77734375
"SAU",35.013414,34.110821,3.445458,3.06329,7.44999980926514,6.69199991226196,19539.5658107346,23185.8707917797
"SVK",5.458827,5.441991,1.936941,3.149606,6.69000005722046,6.82999992370605,19545.7428171932,21391.9253336042
"SVN",2.100126,2.107007,-0.05485681,1.917065,4.96999979019165,4.73999977111816,25545.2410027136,29291.4006234431
"SWE",10.353444,10.415812,0.4973673,2.163197,8.28999996185303,8.72000026702881,52837.9039778149,61028.7380600287
"TUR",83.384688,84.147326,12.27896,19.59649,13.1099996566772,11.9799995422363,8561.07094781987,9661.23597511355
"USA",331.50108,331.893745,1.233584,4.697859,8.05000019073486,5.34999990463257,63530.633483909,70248.6290002242
"ZAF",59.35294,59.964917,3.210036,4.611672,24.3400001525879,28.7700004577637,5741.64312911877,7055.04477598783
