"Country.Code","POP_2017","POP_2018","POP_2019","INF_2017","INF_2018","INF_2019","UNEMP_2017","UNEMP_2018","UNEMP_2019","GDP_2017","GDP_2018","GDP_2019"
"ARG",44.044811,44.494502,44.938712,25.7,34.27723,53.54831,8.35000038146973,9.22000026702881,9.84000015258789,14613.041824658,11795.1593866287,9963.6725062053
"AUS",24.60186,24.982688,25.365745,1.948647,1.911401,1.610768,5.59000015258789,5.30000019073486,5.15999984741211,53936.1402549903,57207.8715094806,54941.4341793948
"AUT",8.795073,8.837707,8.877637,2.081269,1.998382,1.530896,5.5,4.84999990463257,4.48999977111816,47429.1584564387,51466.5565633634,50070.4033482901
"BEL",11.349081,11.40374,11.462023,2.125971,2.053165,1.43682,7.09000015258789,5.94999980926514,5.3600001335144,44198.4823908691,47544.9811472757,46638.6813054855
"BRA",206.804741,208.4949,210.147125,3.446373,3.66485,3.732976,12.9300003051758,12.460000038147,12.0500001907349,9896.68478335903,9121.08340257783,8845.25911841876
"CAN",36.545236,37.065084,37.60123,1.596884,2.268226,1.949269,6.34000015258789,5.82999992370605,5.65999984741211,45129.4292980922,46548.6384108296,46328.6718408497
"CHE",8.451834,8.514327,8.57528,0.5337878,0.9363354,0.3628862,4.80000019073486,4.71000003814697,4.3899998664856,82254.3769269767,85217.3691512274,84121.9310304414
"CHL",18.419192,18.751405,19.107216,2.182719,2.43489,2.557545,6.94999980926514,7.21000003814697,7.26999998092651,15045.5276791243,15795.7084630954,14631.9468779229
"CHN",1410.275957,1417.069468,1421.864034,1.6,2.1,2.9,4.46999979019165,4.30999994277954,4.55999994277954,8816.98690451883,9905.34200388822,10143.8381955585
"COL",49.291609,49.83424,50.374478,4.314313,3.24057,3.52302,8.86999988555908,9.10999965667725,9.96000003814697,6450.31958548124,6782.03792033195,6438.06018290435
"CRI",4.94748959332252,5.00340195767213,5.05800714721902,1.625907,2.221115,2.096046,7.73000001907349,9.01000022888184,10.8100004196167,12118.1334111458,12383.1499737386,12669.341068679
"CZE",10.589526,10.62643,10.669324,2.450534,2.149495,2.847876,2.89000010490417,2.24000000953674,2.00999999046326,20636.199952435,23424.4804601855,23664.8478631108
"DEU",82.657,82.905788,83.092958,1.509497,1.732168,1.445667,3.75,3.38000011444092,3.14000010490417,44652.5891722719,47939.2782884504,46793.6867616004
"DNK",5.760694,5.789957,5.814461,1.147132,0.8136095,0.7581316,5.82999992370605,5.13000011444092,5.01999998092651,57610.0981801135,61591.9288698958,59592.9806886454
"ESP",46.532869,46.728814,47.105358,1.956076,1.674981,0.699519,17.2199993133545,15.25,14.1000003814697,28185.3213671969,30379.7211126422,29581.5185513299
"EST",1.317384,1.321977,1.326855,3.417236,3.436327,2.277259,5.80999994277954,5.40999984741211,4.51000022888184,20437.765376736,23165.8494786437,23424.4847073518
"FIN",5.508209,5.515525,5.521605,0.754015,1.083821,1.024094,8.64000034332275,7.3600001335144,6.69000005722046,46412.1364777169,49987.6261584968,48629.8582283032
"FRA",66.883314,67.125071,67.35605,1.032283,1.850815,1.108255,9.40999984741211,9.02000045776367,8.40999984741211,38781.0494870836,41557.8548588876,40494.8982936276
"GBR",66.040229,66.43555,66.796807,2.6,2.3,1.7,4.32999992370605,4,3.74000000953674,40621.334478632,43306.3083049317,42747.080460496
"GRC",10.754679,10.732877,10.721584,1.121259,0.6256205,0.2529927,21.4899997711182,19.2900009155273,17.3099994659424,18582.0893411631,19756.990456255,19144.284387556
"HUN",9.787969,9.775566,9.771142,2.348243,2.850248,3.338586,4.15999984741211,3.71000003814697,3.42000007629395,14621.2395956755,16425.1012999059,16782.9524639857
"IDN",261.3555,264.1616,266.9119,3.808798,3.198346,3.030587,3.77999997138977,4.3899998664856,3.58999991416931,3839.78506857872,3902.6616681577,4151.22754296453
"IND",1354.195678,1369.003306,1383.112051,2.490887,4.8607,7.659695,7.73299980163574,7.65000009536743,6.51000022888184,1957.968841235,1974.37778792366,2047.23270433512
