"","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"ALL",140.154516,121.86325,102.780051,99.870254,98.103377,90.427894,83.894604,94.97812,103.936667,100.895833,108.184167,105.669167,105.48,125.961667,124.1425,119.1,107.989167,109.850833,108.65,103.52,113.041667
"ARS",3.063257,2.900629,2.923301,2.903658,3.054313,3.095649,3.144165,3.710107,3.896295,4.11014,4.536934,5.459353,8.075276,9.233186,14.758175,16.562707,28.094992,48.147892,70.539167,94.990742,130.61655
"AUD",1.840563,1.541914,1.359752,1.309473,1.327973,1.195073,1.192178,1.282189,1.090159,0.969463,0.965801,1.035843,1.109363,1.33109,1.345214,1.304758,1.338412,1.438507,1.453085,1.331224,1.441664
"BGN",2.076975,1.732702,1.575109,1.574133,1.559267,1.42905,1.337117,1.406692,1.477392,1.406458,1.52205,1.473567,1.474183,1.7644,1.768042,1.735458,1.657042,1.747042,1.716333,1.653775,1.860142
"BRL",2.920363,3.077475,2.925119,2.43439,2.175327,1.947058,1.833767,1.999428,1.759227,1.672829,1.953069,2.156089,2.352952,3.326904,3.491313,3.191389,3.653825,3.944471,5.155179,5.394401,5.16397
"CAD",1.570343,1.401015,1.301282,1.211405,1.134345,1.074046,1.067087,1.141535,1.030113,0.989258,0.999365,1.030137,1.104747,1.278786,1.325615,1.297936,1.295818,1.326793,1.341153,1.253877,1.301555
"CHF",1.558607,1.346651,1.243496,1.245177,1.253843,1.200366,1.08309,1.088142,1.042906,0.888042,0.937684,0.926904,0.916151,0.962381,0.985394,0.984692,0.977892,0.993709,0.938965,0.913846,0.954832
"CLP",688.936667,691.3975,609.529167,559.7675,530.275,522.464167,522.461036,560.859895,510.249167,483.6675,486.471303,495.272878,570.348216,654.124084,676.957736,648.833793,641.276813,702.897423,792.727206,758.955379,873.31419
"CNY",8.276958,8.277037,8.276801,8.194317,7.973438,7.607532,6.948655,6.831416,6.770269,6.461461,6.312333,6.195758,6.143434,6.227489,6.644478,6.758755,6.615957,6.908385,6.900767,6.448975,6.737158
"COP",2504.680833,2877.543333,2628.368333,2321.131667,2358.594605,2077.810958,1965.1375,2157.598333,1898.9975,1848.016667,1798.011667,1868.895,2001.105,2741.781667,3055.255,2951.486911,2955.70397,3281.622194,3693.275833,3744.244167,4256.194167
"CRC",359.817527,398.662222,437.935,477.786741,511.301818,516.61739,526.235513,573.287957,525.829201,505.66424,502.901462,499.766833,538.3172,534.56577,544.739367,567.51309,576.972501,587.294596,584.900855,620.78472,647.135818
"CZK",32.738518,28.209,25.69975,23.957417,22.595583,20.293667,17.071667,19.063,19.09825,17.695917,19.5775,19.570583,20.7575,24.59875,24.439917,23.376333,21.729917,22.93225,23.21025,21.678167,23.357
"DKK",7.894714,6.587673,5.991057,5.99691,5.946778,5.443701,5.098131,5.360867,5.624075,5.368712,5.792476,5.616312,5.612467,6.727907,6.731718,6.602893,6.314619,6.669447,6.542152,6.287113,7.144804
"EUR",1.057559,0.884048,0.803922,0.8038,0.796433,0.729672,0.679923,0.716958,0.754309,0.718414,0.778338,0.752945,0.752728,0.901296,0.903421,0.885206,0.846773,0.893276,0.875506,0.845494,0.949624
"GBP",0.667223,0.612472,0.54618,0.549998,0.543487,0.499772,0.543966,0.641919,0.647179,0.624141,0.633047,0.639661,0.60773,0.654545,0.740634,0.776977,0.749532,0.783445,0.78,0.727065,0.811302
"GEL",2.195675,2.14565,1.91665,1.812675,1.780433,1.670492,1.490792,1.670487,1.782342,1.686495,1.651258,1.66335,1.765667,2.269342,2.366725,2.509542,2.534111,2.818145,3.109017,3.221558,2.9162
"HKD",7.798917,7.78675,7.788,7.777333,7.767833,7.801417,7.786833,7.75175,7.769167,7.784,7.756417,7.756,7.754083,7.75175,7.76225,7.79325,7.8385,7.835917,7.75725,7.77325,7.831417
"HRV",1.044752,0.889902,0.800895,0.789599,0.774808,0.711996,0.654992,0.7013,0.729711,0.709253,0.776467,0.757168,0.762913,0.910253,0.90331,0.879133,0.83337,0.878963,0.877836,0.844128,0.950261
"HUF",257.886667,224.306667,202.745833,199.5825,210.39,183.625833,172.113333,202.341667,207.944167,201.055,225.104167,223.695,232.601667,279.3325,281.523333,274.433333,270.211667,290.66,307.996667,303.140833,372.595833
